author_id,text,geo,created_at,retweets,replies,likes,quote_count,brand
1050768951356129280,Check out this listing I just added to my #Poshmark closet: PINK VICTORIA’S SECRET 80s 90s Retro Spirit Logo Long Sleeve Jersey Top Shirt L. https://t.co/30Mgxs1sLb #shopmycloset @poshmarkapp,,2021-12-08 11:59:04+00:00,0,0,0,0,victoriassecret
1200065713836371968,"@jamesaltham4  don't be asking me to DM you pictures on them then  
And don't go buying Victoria's secret!  https://t.co/ulbVLuhaKc",,2021-12-08 11:57:06+00:00,0,1,1,0,victoriassecret
1364330093355671553,"collector line of dolls with no real story/concept, just the characters trying on new styles/clothes, lots of androgyny for both girl and boy dolls, something very victoria's secret vibes https://t.co/7dg8Go7GWw https://t.co/QOjIh55n36",,2021-12-08 11:56:55+00:00,0,1,2,0,victoriassecret
1406763013194010624,"once i buy a lace corset and post pictures,it'll be over for Victoria's secret henceforth this is a result of their manifestation since they wan stay in biz",,2021-12-08 11:54:58+00:00,0,0,0,0,victoriassecret
4531050803,Check out this listing I just added to my #Poshmark closet: Bundle 4 for 20 Victoria’s Secret Lace Bandeau. https://t.co/dCnu7yP2tz #shopmycloset @poshmarkapp,,2021-12-08 11:53:22+00:00,0,0,0,0,victoriassecret
1050768951356129280,Check out this listing I just added to my #Poshmark closet: PINK VICTORIA’S SECRET 80s 90s Retro Spirit Logo Long Sleeve Jersey Top Shirt L. https://t.co/94odCDSKzi #shopmycloset @poshmarkapp,,2021-12-08 11:46:21+00:00,0,0,0,0,victoriassecret
2466146104,Check out this listing I just added to my #Poshmark closet: Victoria’s Secret long herringbone peacoat. https://t.co/pkYNcsX3OZ #shopmycloset @poshmarkapp,,2021-12-08 11:43:28+00:00,0,0,0,0,victoriassecret
1447765714497155079,@jizzkitt It’s just sum they have at Victoria secret I didn’t read it it’s just for aesthetic,,2021-12-08 11:43:15+00:00,0,1,1,0,victoriassecret
1282237549977600000,spotify ads be weird asf. mf can be listening to sad music den suddenly loud ass ad comes on: “GET 15% OFF PANTIES JUST AT VICTORIA SECRET THIS HOLIDAY!”.,,2021-12-08 11:39:31+00:00,3,0,62,0,victoriassecret
4531050803,Check out this listing I just added to my #Poshmark closet: Bundle 4 for 20 Victoria’s Secret Lace Bandeau. https://t.co/vOsNOPmuqL #shopmycloset @poshmarkapp,,2021-12-08 11:38:28+00:00,0,0,0,0,victoriassecret
1050768951356129280,Check out this listing I just added to my #Poshmark closet: New VS Victoria’s Secret Pink FRESH CLEAN 16.9oz Lotion Apple Lily. https://t.co/4J8JUnkZlS #shopmycloset @poshmarkapp,,2021-12-08 11:37:37+00:00,0,0,0,0,victoriassecret
1307305733831168000,@goddessofgas Victoria's Secret never had it so good. lol ,,2021-12-08 11:37:36+00:00,0,1,1,0,victoriassecret
1467419611712868352,"Victoria Secret's lotion 
Price 2850 just each 
For order now contact me on whatsapp 03136357693 https://t.co/CL1w1blsNn",,2021-12-08 11:37:01+00:00,0,0,0,0,victoriassecret
1050768951356129280,Check out this listing I just added to my #Poshmark closet: PINK Victoria’s Secret 5th Ocean BOSTON RED SOX T-Shirt Large L Embellished. https://t.co/q0pCIuuC5t #shopmycloset @poshmarkapp,,2021-12-08 11:36:37+00:00,0,0,0,0,victoriassecret
955930537566367744,Check out this listing I just added to my #Poshmark closet: Victoria’s Secret throw. https://t.co/fv7sOHOP2a #shopmycloset @poshmarkapp,,2021-12-08 11:35:14+00:00,0,0,0,0,victoriassecret
1050768951356129280,Check out this listing I just added to my #Poshmark closet: PINK Victoria’s Secret Stretch Lace Bra Bralette Top Medium M Black Crisscross. https://t.co/Y0xqvbLAhR #shopmycloset @poshmarkapp,,2021-12-08 11:35:06+00:00,0,0,0,0,victoriassecret
69177234,"VICTORIA'S SECRET tshirt (TSVS-01) - IDR 70,000 
L: blue https://t.co/rmtfBvCPtM",,2021-12-08 11:34:32+00:00,0,0,0,0,victoriassecret
1050768951356129280,Check out this listing I just added to my #Poshmark closet: PINK VICTORIA’S SECRET Embellished Long Sleeve Sweatshirt Top Shirt S. https://t.co/onUyiJXgZu #shopmycloset @poshmarkapp,,2021-12-08 11:33:25+00:00,0,0,0,0,victoriassecret
1393853849669148674,PLAYING CS: GO IN  A VICTORIA'S SECRET?! (GONE WRONG!),,2021-12-08 11:31:57+00:00,0,0,0,0,victoriassecret
1050768951356129280,Check out this listing I just added to my #Poshmark closet: PINK Victoria’s Secret Thermal Long Sleeve Cropped Stretch Shirt Maroon Red S. https://t.co/iORfSFBowz #shopmycloset @poshmarkapp,,2021-12-08 11:31:46+00:00,0,0,0,0,victoriassecret
289415181,@GeeSx “i love georgia because she’s a scruff and nothing like the victoria secret models i used to date”,,2021-12-08 11:31:33+00:00,0,1,0,0,victoriassecret
762020443373133826,"Love Spell Handmade Soap, Victoria Secret Scent Soap, Cold Processed Soap, Girly Soap, Large Bar Body Soap, All Natural, Body Product, Vegan https://t.co/uCzXHoLgLL #Etsy #LibertyBathAndBody ##Handwashing #skincare #Mensgrooming #VictoriaSecret https://t.co/H3zgKrW9yu",,2021-12-08 11:29:18+00:00,7,0,5,0,victoriassecret
263354576,"Anyone looking for tickets to Juno and Silky for Friday night, 3 tickets my friends and I can't make it anymore @Victoria_Secret #ticketfairy",,2021-12-08 11:27:38+00:00,1,0,1,0,victoriassecret
23108927,Check out this listing I just added to my #Poshmark closet: Victoria’s Secret link bracelet. https://t.co/PT85u4nnLF #shopmycloset @poshmarkapp,,2021-12-08 11:25:35+00:00,0,0,0,0,victoriassecret
2191814502,Victoria secret underwear really the worst idc,,2021-12-08 11:18:38+00:00,0,1,0,0,victoriassecret
753429261055254528,@kendallgenderxo I can’t even walk in heels I need lessons!!!! Are you doing the Victoria’s Secret workout with heels??,,2021-12-08 11:15:19+00:00,0,0,0,0,victoriassecret
1140318085,"Read This: ""‘I Told Him I Was Only 15’: Epstein Victim Weeps As She Recounts Orgies With Other Girls"" https://t.co/XM6EVEVTHH",,2021-12-08 11:02:48+00:00,0,0,0,0,victoriassecret
847122050,Victoria's Secret fashion show but make it more craAaAAazy https://t.co/g3V3p62Yki,,2021-12-08 10:59:51+00:00,0,0,0,0,victoriassecret
3302052772,"Victoria Secret Pure Seduction available in oil base. Cop a bottle from us this Christmas and get an extra 10ml free.
@thescentury_gh ……”For all your scenses”
#perfumes #perfumeoils #fragrances #perfumesinghana #Christmasgifts https://t.co/kobvHU34Su",,2021-12-08 10:55:47+00:00,1,0,1,0,victoriassecret
4531050803,Check out this listing I just added to my #Poshmark closet: Victoria’s Secret Sexy Illusions Lightly Line Bra. https://t.co/ECx0A07C1b #shopmycloset @poshmarkapp,,2021-12-08 10:53:15+00:00,0,0,0,0,victoriassecret
1177975104015228930,"@jimtalbot @trader1sz wats thinner

books or victoria secret model",,2021-12-08 10:53:14+00:00,0,2,18,0,victoriassecret
3505346066,Victoria's Secret clothing has just made new Henley with a buckeye design,,2021-12-08 10:41:36+00:00,0,0,0,0,victoriassecret
1128779832937111554,me leaving victoria’s secret with 3 body sprays up my ass https://t.co/UlKEnN3qMz,,2021-12-08 10:39:41+00:00,0,0,3,0,victoriassecret
1102806674652377088,Check out this listing I just added to my #Poshmark closet: Pink Victoria Secret Cropped Sweatshirt. https://t.co/x7XgUKb7EX #shopmycloset @poshmarkapp,,2021-12-08 10:36:58+00:00,0,0,0,0,victoriassecret
2801913854,Check out this listing I just added to my #Poshmark closet: PINK Victoria’s Secret Leggings. https://t.co/FpBdoPY35G #shopmycloset @poshmarkapp,,2021-12-08 10:35:05+00:00,0,0,0,0,victoriassecret
716905889,‘I Told Him I Was Only 15’: Epstein Victim Weeps As She Recounts Orgies With Other Girls https://t.co/QrH2CZeUTt via @thedailybeast,,2021-12-08 10:27:57+00:00,0,0,1,0,victoriassecret
1358308318536753152,"I invite you to my Photoblog  https://t.co/rARdvaCprj
#Victoria's Secret",,2021-12-08 10:26:07+00:00,0,0,0,0,victoriassecret
1468097843973918720,"these are my pricings!! and i only take venmo and gift cards, m trying to set up payal but its like not working :( (amazon, bath and body works, victorias secret, etsy, hollister, h&amp;m gifts cards onlyyyy) https://t.co/BqMzvvp1Mr",,2021-12-08 10:22:36+00:00,0,1,1,0,victoriassecret
2245745143,Check out this listing I just added to my #Poshmark closet: NWT Victoria's Secret Tote Shoulder Bag Overnight Workout Zip Closure. https://t.co/7JqwPyBHIr #shopmycloset @poshmarkapp,,2021-12-08 10:21:02+00:00,0,0,0,0,victoriassecret
1467034101253238791,@ateneangbf victoria's secret lotion,,2021-12-08 10:12:47+00:00,1,0,1,0,victoriassecret
1319065191695482886,Check out this listing I just added to my #Poshmark closet: Victoria’s Secret  Very Sexy Push-Up Bra. https://t.co/7OpLiYYTHB #shopmycloset @poshmarkapp,,2021-12-08 10:02:35+00:00,0,0,0,0,victoriassecret
1319065191695482886,Check out this listing I just added to my #Poshmark closet: Victoria’s Secret  PLUNGE Bra. https://t.co/ce9o8Y5W6e #shopmycloset @poshmarkapp,,2021-12-08 10:02:19+00:00,0,0,0,0,victoriassecret
1319065191695482886,Check out this listing I just added to my #Poshmark closet: Victoria’s Secret Boxy Shorts. https://t.co/oP9LgWx8Ja #shopmycloset @poshmarkapp,,2021-12-08 10:02:02+00:00,0,0,0,0,victoriassecret
3301126207,His phone’s wallpaper is of Victoria Secret angel Miranda Kerr.,,2021-12-08 09:58:35+00:00,0,0,0,0,victoriassecret
1464720341444571145,Sometimes I wonder if it was because of my Victoria Secret Fragrance Mist I’ve been using since 2017.,,2021-12-08 09:55:22+00:00,0,1,0,0,victoriassecret
1452994753189003264,"@shwtygf idk what specific pabango it is, basta sa victoria's secret na very feminine na amoy",,2021-12-08 09:52:32+00:00,1,0,1,0,victoriassecret
1319065191695482886,Check out this listing I just added to my #Poshmark closet: Victoria’s Secret  Sequin Tote NWOT. https://t.co/kAyaXhWN9R #shopmycloset @poshmarkapp,,2021-12-08 09:48:35+00:00,0,0,0,0,victoriassecret
1148388297535713281,@SkyWalkerJess1 Victoria called they want their secret back,,2021-12-08 09:45:37+00:00,0,0,1,0,victoriassecret
1221198350294355972,"Saw a set of Victoria secret perfume yesterday. Since then ehnn my fingers have been itching me . Wahala 
I resist the temptation in Jesus name",,2021-12-08 09:38:50+00:00,0,5,6,0,victoriassecret
1319065191695482886,Check out this listing I just added to my #Poshmark closet: Victoria’s Secret  Swimsuit Top. https://t.co/bINpllr0L8 #shopmycloset @poshmarkapp,,2021-12-08 09:36:35+00:00,0,0,0,0,victoriassecret
1267753429163806722,wish i had a cool signature scent but i still wear the same victoria’s secret scent that i’ve worn since year nine,,2021-12-08 09:22:58+00:00,0,1,2,0,victoriassecret
1405473369689034752,Kendall Jenner with Bella Hadid and Josephine Skriver in rehearsals for the Victoria's Secret fashion show 2018 https://t.co/9nsroX51EB,,2021-12-08 09:19:04+00:00,4,0,38,0,victoriassecret
1414579549808087040,The delivery firm LaserShip is so overloaded it has told retailers like Victoria's Secret and Bath &amp; Body Works to stop sending it packages https://t.co/DUK1xp21ho,,2021-12-08 09:12:28+00:00,0,0,0,0,victoriassecret
1123965409630273537,"pre order 

→ victoria secret perfume set
• available choice : 1 / 2 / 3 / 4
→ $35
→ eta : 3 - 10 weeks
→ full payment needed https://t.co/ak6pWCY4EL",,2021-12-08 09:12:18+00:00,0,0,0,0,victoriassecret
1322653007171837954,"JUST FARTED COW POO IEXEC RLC PLANTING SPAM. UNITED KINGDOM IEXEC RLC BALTIMORE PALEO DOG URINE CACTI IS CALLED GROWTH HACKING IPAD ACHIEVER, SUSHI SMURVES ABOUT MONEY A ROBOT SPIDER GHEE NEW JERSEY EXERCISE BUCKBUCK IS CHEWING SUGAR DADDY PYTHON CALLED FANCY VICTORIA SECRET",,2021-12-08 09:07:36+00:00,0,1,0,0,victoriassecret
1024136643026931712,Victoria secret t shirts review | VICTORIA'S SECRET PINK TEES | GOOD OR BAD QUALITY? https://t.co/96bD8pqtSV,,2021-12-08 09:04:51+00:00,0,0,0,0,victoriassecret
18595456,Check out this listing I just added to my #Poshmark closet: Victoria Secret Most Beautiful Getaway Carry-On Suitcase Midnight Croc. https://t.co/lAU2Hi3mzB #shopmycloset @poshmarkapp,,2021-12-08 08:58:20+00:00,0,0,0,0,victoriassecret
226237472,"VICTORIA SECRET BODY MIST
Let me blow your mind with this green pear  &amp; citrus  body mist. With this great heavenly scent, you’re going nowhere . 
.
Size: 250ml. 
Price: N5,000
.
Free delivery this Christmas within Abuja &amp; Discounted delivery outside Abuja #exploreabuja https://t.co/PmBfPDyDlC",,2021-12-08 08:50:58+00:00,5,1,5,0,victoriassecret
22718922,‘I Told Him I Was Only 15’: Epstein Victim Weeps As She Recounts Orgies With Other Girls #SmartNews  https://t.co/ZlqXXYjaZq,,2021-12-08 08:46:30+00:00,0,0,0,0,victoriassecret
1184244106287030279,"$250 on Victoria’s Secret 
I expect to be reimbursed for this before it comes in the mail Friday 
As always make sure to send SS proof of payment in DM to receive a prize
Cashapp: $madethemoney https://t.co/4Af56Dxk75",,2021-12-08 08:29:52+00:00,22,1,18,0,victoriassecret
1148086552926588928,Check out this listing I just added to my #Poshmark closet: PINK Victoria's Secret Bling Clothing Lot. https://t.co/VyZfUP2kWR #shopmycloset @poshmarkapp,,2021-12-08 08:20:50+00:00,0,0,0,0,victoriassecret
18595456,Check out this listing I just added to my #Poshmark closet: Victoria Secret Nautical Stripe Cozy Robe Sold Out Color High Demand. https://t.co/dkHzRIrENU #shopmycloset @poshmarkapp,,2021-12-08 08:13:06+00:00,0,0,0,0,victoriassecret
2217336374,Justin Bieber - Medley - The Victoria's Secret Fashion Show 2012 HD 1080p https://t.co/LzyopG7tVD via YouTube,,2021-12-08 08:09:10+00:00,0,0,0,0,victoriassecret
4531050803,Check out this listing I just added to my #Poshmark closet: Victoria’s Secret Very Sexy Push Up. https://t.co/hZ0wdhb7aZ #shopmycloset @poshmarkapp,,2021-12-08 08:06:48+00:00,0,0,0,0,victoriassecret
